SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,1800 Lawton St,San Francisco,CA,94122,995000,3,2.0,SF District 2,1660,2374,1939,1,599,,Active,August-3-2025 12:00 PM,August-3-2025 02:00 PM,https://www.redfin.com/CA/San-Francisco/1800-Lawton-St-94122/home/2031136,San Francisco MLS,425061985,N,Y,37.75787,-122.4823918
MLS Listing,,Condo/Co-op,766 Harrison St #202,San Francisco,CA,94107,393000,0,1.0,SAN FRANCISCO,244,,2008,1,1611,342,Active,August-3-2025 02:00 PM,August-3-2025 04:00 PM,https://www.redfin.com/CA/San-Francisco/766-Harrison-St-94107/unit-202/home/40138988,MLSListings,ML82016608,N,Y,37.7816524,-122.3991845
MLS Listing,,Single Family Residential,612 12th Ave,San Francisco,CA,94118,1998000,4,2.5,SF District 1,2750,2375,1915,1,727,,Active,August-2-2025 01:00 PM,August-2-2025 04:00 PM,https://www.redfin.com/CA/San-Francisco/612-12th-Ave-94118/home/1964481,San Francisco MLS,425061209,N,Y,37.7766048,-122.4701977
MLS Listing,,Multi-Family (2-4 Unit),745 Brazil Ave,San Francisco,CA,94112,1749000,8,3.5,San Francisco,4096,2500,1940,1,427,,Active,August-1-2025 04:00 PM,August-1-2025 06:00 PM,https://www.redfin.com/CA/San-Francisco/745-Brazil-Ave-94112/home/775573,MLSListings,ML82016578,N,Y,37.7218941,-122.428476
MLS Listing,,Condo/Co-op,473 S Van Ness Ave,San Francisco,CA,94103,1799000,4,3.0,SAN FRANCISCO,2000,3746,1900,1,900,326,Active,August-1-2025 05:00 PM,August-1-2025 07:00 PM,https://www.redfin.com/CA/San-Francisco/473-S-Van-Ness-Ave-94103/home/18775615,MLSListings,ML82016575,N,Y,37.765589,-122.4174423
MLS Listing,,Condo/Co-op,240 Lombard St #836,San Francisco,CA,94111,718000,1,1.0,SF District 8,617,50189,1993,1,1164,992,Active,August-3-2025 02:00 PM,August-3-2025 04:00 PM,https://www.redfin.com/CA/San-Francisco/240-Lombard-St-94111/unit-836/home/960619,San Francisco MLS,425061933,N,Y,37.8037832,-122.4052173
MLS Listing,,Condo/Co-op,298 Portola Dr #103,San Francisco,CA,94131,750000,1,1.0,SF District 5,755,21192,1996,1,993,628,Active,August-2-2025 02:00 PM,August-2-2025 04:00 PM,https://www.redfin.com/CA/San-Francisco/298-Portola-Dr-94131/unit-103/home/2027256,San Francisco MLS,425061720,N,Y,37.7472934,-122.4446828
MLS Listing,,Multi-Family (2-4 Unit),415-417 44th Ave,San Francisco,CA,94121,1998000,6,4.0,SAN FRANCISCO,3500,3000,1994,1,571,,Active,August-1-2025 04:00 PM,August-1-2025 06:00 PM,https://www.redfin.com/CA/San-Francisco/415-44th-Ave-94121/home/611231,MLSListings,ML82016551,N,Y,37.7807354,-122.5055012
MLS Listing,,Condo/Co-op,1839 15th St #253,San Francisco,CA,94103,695000,1,1.0,SF District 5,756,45289,1983,1,919,742,Active,August-2-2025 02:00 PM,August-2-2025 04:00 PM,https://www.redfin.com/CA/San-Francisco/1839-15th-St-94103/unit-253/home/704314,San Francisco MLS,425061407,N,Y,37.7654182,-122.4248381
MLS Listing,,Condo/Co-op,988 Harrison St Unit JR3,San Francisco,CA,94107,435000,1,1.0,SF District 9,,,1972,1,,535,Active,,,https://www.redfin.com/CA/San-Francisco/988-Harrison-St-94107/unit-JR3/home/196753459,San Francisco MLS,425061833,N,Y,37.7775861,-122.4041186
MLS Listing,,Condo/Co-op,988 Harrison St Unit CN5,San Francisco,CA,94107,769000,2,2.0,SF District 9,,,,1,,592,Active,August-2-2025 01:00 PM,August-2-2025 04:00 PM,https://www.redfin.com/CA/San-Francisco/988-Harrison-St-94107/unit-CN5/home/196752604,San Francisco MLS,425061834,N,Y,37.7775861,-122.4041186
MLS Listing,,Condo/Co-op,901 Bayshore Blvd #307,San Francisco,CA,94124,499000,2,2.0,SF District 10,1095,15164,2003,1,456,906,Active,August-2-2025 02:00 PM,August-2-2025 04:00 PM,https://www.redfin.com/CA/San-Francisco/901-Bay-Shore-Blvd-94124/unit-307/home/12402021,San Francisco MLS,425061998,N,Y,37.7326815,-122.4043029
MLS Listing,,Condo/Co-op,1288 Howard St #524,San Francisco,CA,94103,698000,1,1.0,SF District 9,584,37143,2022,1,1195,441,Active,,,https://www.redfin.com/CA/San-Francisco/1288-Howard-St-94103/unit-524/home/187402334,San Francisco MLS,425061997,N,Y,37.775436,-122.4130273
MLS Listing,,Condo/Co-op,1288 Howard St #418,San Francisco,CA,94103,998000,2,2.0,SF District 9,1011,37143,2022,1,987,467,Active,,,https://www.redfin.com/CA/San-Francisco/1288-Howard-St-94103/unit-418/home/187611286,San Francisco MLS,425062000,N,Y,37.775436,-122.4130273
MLS Listing,,Multi-Family (2-4 Unit),615-617 Octavia St,San Francisco,CA,94102,1600000,4,1.0,SF District 6,1880,1393,1900,1,851,,Active,,,https://www.redfin.com/CA/San-Francisco/615-617-Octavia-St-94102/home/196751080,San Francisco MLS,425058472,N,Y,37.777854,-122.425077
MLS Listing,,Condo/Co-op,1300 22nd St #410,San Francisco,CA,94107,1385000,2,2.0,SF District 9,1048,32000,2016,1,1322,1058,Active,August-2-2025 01:00 PM,August-2-2025 04:00 PM,https://www.redfin.com/CA/San-Francisco/1300-22nd-St-94107/unit-410/home/167315302,San Francisco MLS,425061038,N,Y,37.7578025,-122.3944136
MLS Listing,,Multi-Family (5+ Unit),22 Twin Peaks Blvd,San Francisco,CA,94114,1895000,6,,SF District 5,5217,3763,1960,1,363,,Active,,,https://www.redfin.com/CA/San-Francisco/22-Twin-Peaks-Blvd-94114/home/1899332,San Francisco MLS,425061383,N,Y,37.7608139,-122.446925
MLS Listing,,Single Family Residential,2067 20th Ave,San Francisco,CA,94116,1098000,3,2.0,SF District 2,1450,3001,1927,1,757,,Active,August-2-2025 02:00 PM,August-2-2025 04:00 PM,https://www.redfin.com/CA/San-Francisco/2067-20th-Ave-94116/home/904224,San Francisco MLS,425059573,N,Y,37.7492216,-122.4774835
MLS Listing,,Condo/Co-op,1916 Mason St,San Francisco,CA,94133,949000,3,1.0,SF District 8,1003,2875,1906,1,946,505,Active,August-2-2025 02:00 PM,August-2-2025 04:00 PM,https://www.redfin.com/CA/San-Francisco/1916-Mason-St-94133/home/1077800,San Francisco MLS,425058848,N,Y,37.801267,-122.412556
MLS Listing,,Condo/Co-op,329 Bay St #305,San Francisco,CA,94133,715000,1,1.0,SF District 8,659,8581,2007,1,1085,725,Active,,,https://www.redfin.com/CA/San-Francisco/329-Bay-St-94133/unit-305/home/21967120,San Francisco MLS,425061927,N,Y,37.8055553,-122.4127879
MLS Listing,,Condo/Co-op,110 Channel St #104,San Francisco,CA,94158,1398000,2,2.0,SF District 9,1030,49773,2017,1,1357,986,Active,,,https://www.redfin.com/CA/San-Francisco/110-Channel-St-94158/unit-104/home/167382781,San Francisco MLS,425061811,N,Y,37.7746482,-122.391105
MLS Listing,,Condo/Co-op,941 Lombard St,San Francisco,CA,94133,1495000,2,1.0,SF District 8,1066,4136,1913,1,1402,200,Active,,,https://www.redfin.com/CA/San-Francisco/941-Lombard-St-94133/home/851342,San Francisco MLS,425061430,N,Y,37.801948,-122.417032
MLS Listing,,Condo/Co-op,1565 Clay St,San Francisco,CA,94109,1798000,4,2.5,SF District 8,2035,5035,1908,1,884,800,Active,August-2-2025 01:30 PM,August-2-2025 04:30 PM,https://www.redfin.com/CA/San-Francisco/1565-Clay-St-94109/home/1682749,San Francisco MLS,425061627,N,Y,37.792466,-122.418775
MLS Listing,,Condo/Co-op,1177 California St #823,San Francisco,CA,94108,870000,1,1.0,SF District 8,706,31663,1978,1,1232,1415,Active,,,https://www.redfin.com/CA/San-Francisco/1177-California-St-94108/unit-823/home/1778990,San Francisco MLS,425061899,N,Y,37.7909986,-122.4137649
MLS Listing,,Other,826 Jackson St,San Francisco,CA,94133,2750000,20,,SF District 8,11100,6037,1928,1,248,,Active,,,https://www.redfin.com/CA/San-Francisco/826-Jackson-St-94133/home/191670018,San Francisco MLS,425061358,N,Y,37.795959,-122.408853
MLS Listing,,Multi-Family (2-4 Unit),1883-1885 16th Ave,San Francisco,CA,94122,1295000,2,2.0,SF District 2,1518,1128,1941,1,853,,Active,August-2-2025 02:00 PM,August-2-2025 04:00 PM,https://www.redfin.com/CA/San-Francisco/1883-1885-16th-Ave-94122/home/194790671,San Francisco MLS,425061896,N,Y,37.752846,-122.473334
MLS Listing,,Condo/Co-op,8400 Oceanview Ter #118,San Francisco,CA,94132,529000,1,1.0,SF District 3,669,325629,2002,1,791,835,Active,August-3-2025 02:00 PM,August-3-2025 04:30 PM,https://www.redfin.com/CA/San-Francisco/8400-Oceanview-Ter-94132/unit-118/home/1870495,San Francisco MLS,425061846,N,Y,37.7096596,-122.4686256
MLS Listing,,Condo/Co-op,808 Red Leaf Ct,San Francisco,CA,94134,628888,2,2.0,SAN FRANCISCO,906,,1987,1,694,768,Active,August-2-2025 02:00 PM,August-2-2025 04:30 PM,https://www.redfin.com/CA/San-Francisco/808-Red-Leaf-Ct-94134/home/1065723,MLSListings,ML82016438,N,Y,37.7086132,-122.4268917
MLS Listing,,Condo/Co-op,425 1st St #1506,San Francisco,CA,94105,1345000,2,2.0,SF District 9,1238,56024,2008,1,1086,1475,Active,August-3-2025 02:00 PM,August-3-2025 04:00 PM,https://www.redfin.com/CA/San-Francisco/425-1st-St-94105/unit-1506/home/17305661,San Francisco MLS,425060368,N,Y,37.7858649,-122.3921951
MLS Listing,,Multi-Family (2-4 Unit),440-442 29th St,San Francisco,CA,94131,4800000,6,2.0,SAN FRANCISCO,5416,2848,2015,1,886,,Active,,,https://www.redfin.com/CA/San-Francisco/442-29th-St-94131/home/171998742,MLSListings,ML82016429,N,Y,37.7436836,-122.4299193
MLS Listing,,Multi-Family (2-4 Unit),3386 16th St,San Francisco,CA,94114,1685000,6,4.5,San Francisco,3691,1733,1906,1,457,,Active,,,https://www.redfin.com/CA/San-Francisco/3386-16th-St-94114/home/180323147,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41106559,N,Y,37.7647288,-122.4283541
MLS Listing,,Single Family Residential,29 Cameo Way,San Francisco,CA,94131,2295000,4,2.5,SF District 4,1862,4464,1962,1,1233,,Active,July-31-2025 04:00 PM,July-31-2025 05:00 PM,https://www.redfin.com/CA/San-Francisco/29-Cameo-Way-94131/home/928602,San Francisco MLS,425058159,N,Y,37.7453614,-122.4441413
MLS Listing,,Condo/Co-op,89 Goethe St #2,Daly City,CA,94014,650000,1,1.5,DALY CITY,1110,,2005,1,586,634,Active,,,https://www.redfin.com/CA/Daly-City/89-Goethe-St-94014/unit-2/home/2100412,MLSListings,ML82016410,N,Y,37.7081329,-122.4587837
MLS Listing,,Multi-Family (5+ Unit),578 Guerrero St,San Francisco,CA,94110,1390000,4,4.0,SF District 5,3635,2000,1913,1,382,,Active,,,https://www.redfin.com/CA/San-Francisco/578-Guerrero-St-94110/home/196696445,San Francisco MLS,425061734,N,Y,37.7618248,-122.4241332
MLS Listing,,Single Family Residential,137 Staples Ave,San Francisco,CA,94112,1295000,2,1.0,SF District 4,1382,3746,1923,1,937,,Active,August-2-2025 02:00 PM,August-2-2025 04:00 PM,https://www.redfin.com/CA/San-Francisco/137-Staples-Ave-94112/home/964793,San Francisco MLS,425061101,N,Y,37.7289304,-122.4452348
MLS Listing,,Multi-Family (2-4 Unit),49 High St,San Francisco,CA,94114,1799000,4,1.0,SF District 5,2830,5222,1977,1,636,,Active,,,https://www.redfin.com/CA/San-Francisco/49-High-St-94114/home/1590253,San Francisco MLS,425061714,N,Y,37.7485342,-122.4433306
MLS Listing,,Condo/Co-op,55 Page St #416,San Francisco,CA,94102,645000,0,1.0,SF District 6,479,25801,2008,1,1347,588,Active,August-2-2025 02:00 PM,August-2-2025 04:00 PM,https://www.redfin.com/CA/San-Francisco/55-Page-St-94102/unit-416/home/17306370,San Francisco MLS,425061434,N,Y,37.7737829,-122.4218176
MLS Listing,,Single Family Residential,2142 43rd Ave,San Francisco,CA,94116,1200000,2,1.0,SF District 2,1050,3001,1946,1,1143,,Active,August-2-2025 02:00 PM,August-2-2025 04:00 PM,https://www.redfin.com/CA/San-Francisco/2142-43rd-Ave-94116/home/1685403,San Francisco MLS,425023321,N,Y,37.7467018,-122.5015299
MLS Listing,,Single Family Residential,660 Cambridge St,San Francisco,CA,94134,1890000,5,3.5,SF District 10,3480,3000,2005,1,543,,Active,August-2-2025 01:00 PM,August-2-2025 03:00 PM,https://www.redfin.com/CA/San-Francisco/660-Cambridge-St-94134/home/11743157,MetroList,425061216,N,Y,37.7232864,-122.4173395
MLS Listing,,Condo/Co-op,555 Bartlett St #416,San Francisco,CA,94110,699000,1,1.0,SF District 9,744,30646,2010,1,940,733,Active,August-3-2025 02:00 PM,August-3-2025 04:00 PM,https://www.redfin.com/CA/San-Francisco/555-Bartlett-St-94110/unit-416/home/40143081,San Francisco MLS,425061595,N,Y,37.7484192,-122.4191075
MLS Listing,,Single Family Residential,3237 Harrison St,San Francisco,CA,94110,2999000,4,4.0,SF District 9,,2748,1900,1,,,Active,July-31-2025 04:30 PM,July-31-2025 06:30 PM,https://www.redfin.com/CA/San-Francisco/3237-Harrison-St-94110/home/1543498,San Francisco MLS,425046851,N,Y,37.7462516,-122.4113645
MLS Listing,,Single Family Residential,32 Mars St,San Francisco,CA,94114,995000,1,2.0,SF District 5,835,2735,1925,1,1192,,Active,July-31-2025 05:30 PM,July-31-2025 07:00 PM,https://www.redfin.com/CA/San-Francisco/32-Mars-St-94114/home/1996779,San Francisco MLS,425059848,N,Y,37.7614492,-122.4447726
MLS Listing,,Multi-Family (5+ Unit),1013-1019a Noe St,San Francisco,CA,94114,2550000,6,1.0,SF District 5,4930,3306,1908,1,517,,Active,,,https://www.redfin.com/CA/San-Francisco/1013-1019-Noe-St-94114/home/102824524,San Francisco MLS,425060444,N,Y,37.752752,-122.431681
MLS Listing,,Single Family Residential,1532 Pacheco,San Francisco,CA,94116,1288000,3,3.5,Central Sunset,,2650,1926,2,,,Active,August-2-2025 02:00 PM,August-2-2025 04:30 PM,https://www.redfin.com/CA/San-Francisco/1532-Pacheco-St-94116/home/904124,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41106458,N,Y,37.7506888,-122.4768775
MLS Listing,,Vacant Land,1531 Jerrold Ave,San Francisco,CA,94124,340000,,,San Francisco,,2500,,2,,,Active,,,https://www.redfin.com/CA/San-Francisco/1531-Jerrold-Ave-94124/home/110063121,MLSListings,ML82016280,N,Y,37.737941,-122.388432
MLS Listing,,Condo/Co-op,765 Market St Ph 3A,San Francisco,CA,94103,9995000,3,4.0,SAN FRANCISCO,4341,,2001,2,2302,5284,Active,,,https://www.redfin.com/CA/San-Francisco/765-Market-St-94103/unit-3A/home/190560994,MLSListings,ML82016275,N,Y,37.7863495,-122.4045519
MLS Listing,,Single Family Residential,1910 Baker St,San Francisco,CA,94115,5995000,5,5.5,SF District 7,,2613,1900,2,,,Active,August-2-2025 11:00 AM,August-2-2025 01:00 PM,https://www.redfin.com/CA/San-Francisco/1910-Baker-St-94115/home/1217609,San Francisco MLS,425061415,N,Y,37.789022,-122.4437847
MLS Listing,,Condo/Co-op,2060 Sutter St #405,San Francisco,CA,94115,1149000,2,2.0,SF District 6,1215,35698,1984,2,946,948,Active,July-31-2025 05:00 PM,July-31-2025 06:30 PM,https://www.redfin.com/CA/San-Francisco/2060-Sutter-St-94115/unit-405/home/1642705,San Francisco MLS,425057350,N,Y,37.7861255,-122.4343893
MLS Listing,,Condo/Co-op,1 Federal St #12,San Francisco,CA,94107,324383,0,1.0,SF District 9,870,22442,2003,2,373,925,Active,August-2-2025 02:00 PM,August-2-2025 04:00 PM,https://www.redfin.com/CA/San-Francisco/1-Federal-St-94107/unit-12/home/1258256,San Francisco MLS,425059268,N,Y,37.783983,-122.39114
MLS Listing,,Condo/Co-op,1340 Clay St #403,San Francisco,CA,94109,2000000,2,2.0,SF District 8,1630,13212,1991,2,1227,3163,Active,,,https://www.redfin.com/CA/San-Francisco/1340-Clay-St-94109/unit-403/home/1442317,San Francisco MLS,425061353,N,Y,37.79332,-122.4153392
MLS Listing,,Condo/Co-op,2040 Broadway St #102,San Francisco,CA,94115,1650000,2,2.0,SF District 7,1330,9448,1988,3,1241,1640,Active,July-31-2025 05:00 PM,July-31-2025 06:00 PM,https://www.redfin.com/CA/San-Francisco/2040-Broadway-St-94115/unit-102/home/1983938,San Francisco MLS,425048333,N,Y,37.7950319,-122.4312548
MLS Listing,,Condo/Co-op,2930 Baker St,San Francisco,CA,94123,2395000,2,2.5,SF District 7,2105,2657,1927,3,1138,600,Active,July-31-2025 05:00 PM,July-31-2025 07:00 PM,https://www.redfin.com/CA/San-Francisco/2930-Baker-St-94123/home/2018304,San Francisco MLS,425052698,N,Y,37.7981802,-122.445607
MLS Listing,,Single Family Residential,325 Bridgeview Dr,San Francisco,CA,94124,699000,4,2.0,SAN FRANCISCO,1570,2500,1942,3,445,,Active,,,https://www.redfin.com/CA/San-Francisco/325-Bridgeview-Dr-94124/home/1711848,MLSListings,ML82016112,N,Y,37.7327262,-122.398045
MLS Listing,,Multi-Family (5+ Unit),1800 19th Ave,San Francisco,CA,94112,2500000,,,SAN FRANCISCO,3140,2178,1932,3,796,,Active,,,https://www.redfin.com/CA/San-Francisco/1800-19th-Ave-94122/home/104012887,MLSListings,ML82016116,N,Y,37.7541229,-122.4760792
MLS Listing,,Condo/Co-op,338 main St Unit 26D,San Francisco,CA,94501,1265000,1,1.0,San Francisco,975,62290,2016,3,1297,1300,Active,,,https://www.redfin.com/CA/San-Francisco/338-Main-St-94105/unit-26D/home/110052545,CRMLS,OC25164214,N,Y,37.7887038,-122.3914964
MLS Listing,,Multi-Family (2-4 Unit),3102 California St,San Francisco,CA,94115,1250000,5,,SF District 7,,1999,,3,,,Active,August-5-2025 10:00 AM,August-5-2025 12:00 PM,https://www.redfin.com/CA/San-Francisco/3102-California-St-94115/home/586943,San Francisco MLS,425061102,N,Y,37.7876213,-122.4457063
MLS Listing,,Other,3100 California St,San Francisco,CA,94115,1200000,4,1.0,SF District 7,2750,1999,,3,436,,Active,August-5-2025 10:00 AM,August-5-2025 12:00 PM,https://www.redfin.com/CA/San-Francisco/3100-California-St-94115/home/196653219,San Francisco MLS,425061107,N,Y,37.7876621,-122.4455959
MLS Listing,,Multi-Family (2-4 Unit),41-43 Mallorca Way,San Francisco,CA,94123,2495000,4,,SF District 7,2800,2278,1925,3,891,,Active,July-31-2025 05:00 PM,July-31-2025 06:30 PM,https://www.redfin.com/CA/San-Francisco/43-Mallorca-Way-94123/home/190508336,San Francisco MLS,425061110,N,Y,37.8014062,-122.4376189
MLS Listing,,Multi-Family (2-4 Unit),833 Scott St,San Francisco,CA,94117,3200000,15,5.5,San Francisco,6238,2652,1905,3,513,,Active,,,https://www.redfin.com/CA/San-Francisco/833-Scott-St-94117/home/595777,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41106329,N,Y,37.777536,-122.436909
MLS Listing,,Single Family Residential,536 Funston Ave,San Francisco,CA,94118,2695000,4,3.5,SF District 1,3361,3001,1912,3,802,,Active,August-3-2025 02:00 PM,August-3-2025 04:00 PM,https://www.redfin.com/CA/San-Francisco/536-Funston-Ave-94118/home/1888750,San Francisco MLS,425059738,N,Y,37.7781179,-122.4713665
MLS Listing,,Multi-Family (5+ Unit),2854 Sacramento St,San Francisco,CA,94115,3800000,,,San Francisco,5250,3188,1906,3,724,,Active,,,https://www.redfin.com/CA/San-Francisco/2854-Sacramento-St-94115/home/196648752,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41106316,N,Y,37.7892266,-122.4399063
MLS Listing,,Condo/Co-op,1483 Sutter St #401,San Francisco,CA,94109,665000,1,1.0,SF District 8,801,48636,1993,3,830,941,Active,August-3-2025 02:00 PM,August-3-2025 04:00 PM,https://www.redfin.com/CA/San-Francisco/1483-Sutter-St-94109/unit-401/home/2007211,San Francisco MLS,425060050,N,Y,37.7869544,-122.4241886
MLS Listing,,Condo/Co-op,55 Page St #817,San Francisco,CA,94102,849000,1,1.0,SF District 6,746,25801,2008,3,1138,682,Active,,,https://www.redfin.com/CA/San-Francisco/55-Page-St-94102/unit-817/home/17306589,San Francisco MLS,425060762,N,Y,37.7737829,-122.4218176
MLS Listing,,Single Family Residential,48 Terra Vista Ave Unit A,San Francisco,CA,94115,799000,1,1.0,SF District 6,865,3057,1951,3,924,300,Active,July-31-2025 05:00 PM,July-31-2025 06:30 PM,https://www.redfin.com/CA/San-Francisco/48-Terra-Vista-Ave-94115/unit-A/home/11893354,San Francisco MLS,425060319,N,Y,37.7817099,-122.442624
MLS Listing,,Single Family Residential,3144 22nd St,San Francisco,CA,94110,1000000,3,1.5,SF District 9,1761,2694,1900,3,568,400,Active,August-6-2025 06:00 PM,August-6-2025 07:00 PM,https://www.redfin.com/CA/San-Francisco/3144-3148-22nd-St-94110/home/194168677,San Francisco MLS,425061060,N,Y,37.755713,-122.417518
MLS Listing,,Condo/Co-op,1207 Arguello Blvd,San Francisco,CA,94122,1788000,3,2.5,SF District 2,1405,,1908,3,1273,295,Active,August-3-2025 01:00 PM,August-3-2025 04:00 PM,https://www.redfin.com/CA/San-Francisco/1207-Arguello-Blvd-94122/home/1399958,San Francisco MLS,425059594,N,Y,37.7658839,-122.458018
MLS Listing,,Condo/Co-op,3131 Pierce St #406,San Francisco,CA,94123,1695000,2,2.0,SF District 7,1053,13287,2021,3,1610,941,Active,August-2-2025 02:00 PM,August-2-2025 04:00 PM,https://www.redfin.com/CA/San-Francisco/3131-Pierce-St-94123/unit-406/home/175155344,San Francisco MLS,425057473,N,Y,37.7989774,-122.4394952
MLS Listing,,Single Family Residential,1731 40th Ave,San Francisco,CA,94122,1195000,2,1.0,SF District 2,1175,3001,1940,3,1017,,Active,July-31-2025 05:30 PM,July-31-2025 07:00 PM,https://www.redfin.com/CA/San-Francisco/1731-40th-Ave-94122/home/642674,San Francisco MLS,425060537,N,Y,37.7544864,-122.4993254
MLS Listing,,Single Family Residential,843 Mason St,San Francisco,CA,94108,4650000,5,5.0,SF District 8,4427,2047,1917,3,1050,,Active,August-3-2025 02:00 PM,August-3-2025 04:00 PM,https://www.redfin.com/CA/San-Francisco/843-Mason-St-94108/home/1626283,San Francisco MLS,425060484,N,Y,37.7914052,-122.4110014
MLS Listing,,Single Family Residential,873 University St,San Francisco,CA,94134,1600000,4,2.0,SF District 10,1800,1750,1964,4,889,,Active,,,https://www.redfin.com/CA/San-Francisco/873-University-St-94134/home/1006244,MetroList,425061068,N,Y,37.7194132,-122.4109727
MLS Listing,,Condo/Co-op,1483 Sutter St #301,San Francisco,CA,94109,750000,1,1.0,SF District 8,801,,1993,4,936,883,Active,,,https://www.redfin.com/CA/San-Francisco/1483-Sutter-St-94109/unit-301/home/930963,San Francisco MLS,425060867,N,Y,37.7869544,-122.4241886
MLS Listing,,Multi-Family (2-4 Unit),1840 Church St,San Francisco,CA,94131,2750000,6,3.5,SAN FRANCISCO,2640,3123,1979,5,1042,,Active,,,https://www.redfin.com/CA/San-Francisco/1840-Church-St-94131/home/1850334,MLSListings,ML82016013,N,Y,37.741048,-122.42705
MLS Listing,,Condo/Co-op,360 Guerrero St #415,San Francisco,CA,94103,515000,0,1.0,SF District 5,602,45289,1983,6,855,691,Active,,,https://www.redfin.com/CA/San-Francisco/360-Guerrero-St-94103/unit-415/home/704455,San Francisco MLS,425060773,N,Y,37.765436,-122.424864
MLS Listing,,Single Family Residential,150 Cresta Vista Dr,San Francisco,CA,94127,1598000,3,2.0,SF District 4,1400,3358,1964,6,1141,,Active,August-2-2025 02:00 PM,August-2-2025 04:00 PM,https://www.redfin.com/CA/San-Francisco/150-Cresta-Vista-Dr-94127/home/1462814,BAREIS,425060755,N,Y,37.7355007,-122.4564442
